country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
PL,2010,G4677,Wholesale of waste and scrap,8288,0.7,1
PL,2010,C,Manufacturing,703826,61,2
PL,2010,F,Construction,66136,5.7,3
PL,2010,B,Mining and quarrying,5129,0.4,4
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),339901,29.5,5
PL,2010,A,"Agriculture, forestry and fishing",3072,0.3,6
PL,2010,D,"Electricity, gas, steam and air conditioning supply",15065,1.3,7
PL,2010,EP_HH,Households,12210,1.1,8
PL,2010,EP_HH,Households,472,0,1
PL,2010,F,Construction,37786,1.7,2
PL,2010,G4677,Wholesale of waste and scrap,3320,0.2,3
PL,2010,A,"Agriculture, forestry and fishing",19317,0.9,4
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),191482,8.8,5
PL,2010,D,"Electricity, gas, steam and air conditioning supply",184645,8.5,6
PL,2010,C,Manufacturing,1739450,79.9,7
PL,2010,B,Mining and quarrying,1653,0.1,8
PL,2010,F,Construction,9834,0.6,1
PL,2010,D,"Electricity, gas, steam and air conditioning supply",73568,4.8,2
PL,2010,B,Mining and quarrying,4399,0.3,3
PL,2010,EP_HH,Households,42,0,4
PL,2010,G-U_X_G4677,Services (except wholesale of waste and scrap),238077,15.6,5
PL,2010,G4677,Wholesale of waste and scrap,2091,0.1,6
PL,2008,A,"Agriculture, forestry and fishing",19317,1.3,7
PL,2008,C,Manufacturing,1176714,77.2,8
RO,2008,G4677,Wholesale of waste and scrap,85,0,1
RO,2008,C,Manufacturing,253230,23.2,2
RO,2008,B,Mining and quarrying,244560,22.4,3
RO,2008,F,Construction,241023,22.1,4
RO,2008,D,"Electricity, gas, steam and air conditioning supply",1852,0.2,5
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),183775,16.8,6
RO,2008,E,"Water supply, sewerage, waste management",17315,1.6,7
RO,2008,EP_HH,Households,138296,12.7,8
RO,2008,A,"Agriculture, forestry and fishing",10530,1,9
RO,2008,D,"Electricity, gas, steam and air conditioning supply",994,0.1,1
RO,2008,E,"Water supply, sewerage, waste management",9869,1.3,2
RO,2008,A,"Agriculture, forestry and fishing",7548,1,3
RO,2008,G4677,Wholesale of waste and scrap,59,0,4
RO,2008,EP_HH,Households,52746,6.8,5
RO,2008,C,Manufacturing,199438,25.7,6
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),184836,23.9,7
RO,2008,F,Construction,162638,21,8
RO,2008,B,Mining and quarrying,156483,20.2,9
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),95254,12.9,1
RO,2008,F,Construction,81080,11,2
RO,2008,EP_HH,Households,55855,7.6,3
RO,2008,B,Mining and quarrying,244907,33.2,4
RO,2008,G4677,Wholesale of waste and scrap,239,0,5
RO,2008,C,Manufacturing,234603,31.8,6
RO,2008,D,"Electricity, gas, steam and air conditioning supply",1952,0.3,7
RO,2008,A,"Agriculture, forestry and fishing",11541,1.6,8
RO,2008,E,"Water supply, sewerage, waste management",11419,1.5,9
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),85536,13.7,1
RO,2008,G4677,Wholesale of waste and scrap,619,0.1,2
RO,2008,EP_HH,Households,41591,6.7,3
RO,2008,B,Mining and quarrying,241985,38.7,4
RO,2008,C,Manufacturing,228130,36.5,5
RO,2008,F,Construction,206,0,6
RO,2008,E,"Water supply, sewerage, waste management",14080,2.3,7
RO,2008,A,"Agriculture, forestry and fishing",11773,1.9,8
RO,2008,D,"Electricity, gas, steam and air conditioning supply",1059,0.2,9
RO,2008,A,"Agriculture, forestry and fishing",7549,1.3,1
RO,2008,G4677,Wholesale of waste and scrap,42,0,2
RO,2008,EP_HH,Households,29853,5.1,3
RO,2008,E,"Water supply, sewerage, waste management",29293,5,4
RO,2008,F,Construction,262,0,5
RO,2008,B,Mining and quarrying,206832,35,6
RO,2008,C,Manufacturing,181444,30.7,7
RO,2008,D,"Electricity, gas, steam and air conditioning supply",1374,0.2,8
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),133650,22.6,9
RO,2008,D,"Electricity, gas, steam and air conditioning supply",958,0.1,1
RO,2008,E,"Water supply, sewerage, waste management",84553,12.3,2
RO,2008,G4677,Wholesale of waste and scrap,52,0,3
RO,2008,F,Construction,3380,0.5,4
RO,2008,A,"Agriculture, forestry and fishing",3354,0.5,5
RO,2008,C,Manufacturing,288309,41.8,6
RO,2008,EP_HH,Households,20781,3,7
RO,2008,B,Mining and quarrying,147299,21.4,8
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),140565,20.4,9
RO,2008,F,Construction,909,0.1,1
RO,2008,D,"Electricity, gas, steam and air conditioning supply",792,0.1,2
RO,2008,A,"Agriculture, forestry and fishing",6923,1,3
RO,2008,C,Manufacturing,307197,44.2,4
RO,2008,EP_HH,Households,23353,3.4,5
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),228094,32.8,6
RO,2008,E,"Water supply, sewerage, waste management",18591,2.7,7
RO,2008,G4677,Wholesale of waste and scrap,134,0,8
RO,2008,B,Mining and quarrying,109696,15.8,9
RO,2008,G-U_X_G4677,Services (except wholesale of waste and scrap),72749,14,1
